com.samsung.shealth.rewards,6156001,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2020-04-18 22:00:00.000,,100003,,2020-04-28 11:35:03.890,2020-04-28 11:35:03.890,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,08119947-fa67-45cb-89a1-5aedfef8f64e,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-30 13:48:47.665,2020-04-30 13:48:47.665,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,a01f81cd-0a3f-42a7-8dc8-ef03e7b98ae6,1,
,2020-04-16 22:00:00.000,,100003,,2020-04-22 22:00:01.963,2020-04-22 22:00:01.963,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":12642}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-16 22:00:00.000,ebbb855f-61cf-4598-b81e-606277969855,1,
,2020-04-15 13:49:00.050,,,,2020-04-16 10:16:16.222,2020-04-15 13:49:00.079,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":103,""mValue2"":60}",F5JW66Upzd,com.sec.android.app.shealth,goal.activity,2020-04-15 13:49:00.050,42bd89de-3eb6-4265-a935-f9728f6e87d4,0,
,2020-04-18 22:00:00.000,,100003,,2020-04-24 06:15:06.002,2020-04-24 06:15:06.002,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,488c9ce8-f70d-449e-819b-1420d5b47d52,1,
,2020-04-16 21:59:59.999,,,,2020-04-17 18:07:11.558,2020-04-16 17:35:02.908,,,goal_activity_reward_most_active_day,UTC+0200,"{""mIsCompleted"":true,""mValue"":124,""mValue2"":0}",F5JW66Upzd,com.sec.android.app.shealth,goal.activity,2020-04-16 21:59:59.999,26d21d77-b948-44b3-b605-f86b260ef13f,0,
,2020-04-18 22:00:00.000,,100003,,2020-05-01 08:38:04.506,2020-05-01 08:38:04.506,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,f27d5659-b28f-4b5f-832c-359f6254c7ec,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-24 14:43:47.264,2020-04-24 14:43:47.264,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,a19e232f-d9ab-44d6-8413-0bc3924ee2f4,1,
,2020-04-16 22:00:00.000,,10009,,2020-04-22 22:00:01.528,2020-04-17 11:55:04.335,,,tracker_pedometer_reward_target_achieved,UTC+0200,"{""mTarget"":6000,""mValue"":11023}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-16 22:00:00.000,4730d6d1-94ff-493b-a250-9b4f98e73ff5,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-24 22:00:00.832,2020-04-24 22:00:00.832,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,42dc44a7-45cf-43c4-bada-af2350c07040,1,
